index,Word,Meaning,Spelling,Kanji
259,幸せな,happy,shiawasena,hạnh
260,得意な,"strong, proud, smug",tokuina,đắc ý
261,苦手な,weak; uncomfortable; unable to take,nigatena,khổ thủ
262,鉄心な,passionate,nesshinna,nhiệt tâm
263,夢中な,"crazy, enamored",muchuuna,mộng trung
264,退屈な,boring,taikutsuna,thoái quật
265,健康な,healthy,kenkouna,kiện khang
266,苦しい,rough; agonizing,kurushii,khổ
267,平気な,unfazed; brazen,heikina,bình khí
268,悔しい,frustrating,kuyashii,hối
269,うらやましい,envious,urayamashii,không
270,かゆい,itchy,kayui,không
271,おとなしい,"quiet, subdued",otonashii,không
272,我慢強い,perseverant,gamanduyoi,ngã mạn cường
273,正直な,honest,shoujikina,chính trực
274,けちな,stingy,kechina,không
275,わがままな,selfish,wagamamana,không
276,積極的な,"active, positive",sekkyokutekina,tích cực đích
277,消極的な,"passitive, negative",shoukyokutekina,tiêu cực đích
278,満足な,"satisfying, contented",manzokuna,mãn túc
279,不満な,"dissatisfying, discontented",fumanna,bất mãn
280,不安な,"worrisome, uneasy",fuanna,bất an
281,大変な,"tough, awful",taihenna,đại biến
282,無理な,"impossible, by forece",murina,vô lý
283,不注意な,careless,fuchuuina,bất chú ý
284,楽な,easy,rakuna,lạc
285,面倒な,troublesome,mendouna,diện đảo
286,失礼な,rude,shitsureina,thất lễ
287,当然な,"natural, expected",touzenna,đương nhiên
288,意外な,"unexpected, surprising",igaina,ý ngoại
289,結構な,"nice, fine;No, thank you",kekkouna,kết cấu
290,派手な,"flashy, fancy",hadena,phái thủ
291,地味な,plain,jimina,địa vị
292,おしゃれな,"stylish, fashionable",osharena,không
293,変な,weird,henna,biến
294,不思議な,strange; mysterious; miraculous,fushigina,bất tư nghị
295,ましな,"preferable, better",mashina,không
296,むだな,"futile, wasteful",mudana,không
297,自由な,free,jiyuuna,tự do
298,不自由な,impaired; inconvenient; disadvantaged,fujiyuuna,bất tự do
